dryPlCode,dryPlName
204870,페페로미아 그라베올렌스
204842,크라슐라 은전
204864,모난데스 폴리필라
204863,하워디아 야로수
204865,시노크라술라 사마로
204862,하워디아 수
204869,산세베리아 하니
204868,파우카리아 미파
204867,에키누스 벽어연
204861,하워디아 십이지권
204831,에오니움 캐시미어바이올렛
204860,알로에 알로에
204866,시노크라술라 입전봉
204830,에오니움 소인제
204836,코티레돈 복랑
204859,알로에 불야성
204858,가스테리아 자보
204829,에오니움 유접곡
204833,칼랑코에 월토이
204834,코티레돈 웅동자
204832,칼랑코에 당인
204857,파키베리아 상조
204835,코티레돈 백미인
204841,크라슐라 백로
204828,에오니움 흑법사
204849,크라슐라 무을녀
204856,파키베리아 자려전
204853,파키피툼 홍미인
204852,파키피툼 성미인
204827,그랍토페탈 홍용월
204848,크라슐라 우주목
204851,파키피툼 군작
204855,파키베리아 입전
204826,그랍토페탈룸 멘도자
204847,크라슐라 십자성
204850,크라슐라 신화월
204854,파키베리아 일레인
204825,그랍토베리아 퍼플드림
204846,크라슐라 남십자성
204839,크라슐라 부다템플
204838,크라슐라 적귀성
204824,그랍토베리아 흑괴리
204845,크라슐라 염자
204844,크라슐라 애성
204795,에케베리아 도리스테일러
204780,세덤 을녀심
204837,크라슐라 화제
204823,그랍토베리아 실버스타
204788,에케베리아 제이드포인트
204843,크라슐라 기천
204779,세덤 옥주염
204794,에케베리아 정야
204822,그랍토베리아 데비
204791,에케베리아 치와와린제
204778,세덤 황금세덤
204785,세네시오 녹영
204821,그랍토베리아 백모단
204793,에케베리아 펀퀸
204790,에케베리아 크리스마스
204777,세덤 환엽송록
204820,그랍토베리아 연봉
204776,세덤 리틀잼
204789,에케베리아 레이디스핑거
204787,에케베리아 핑크세도이데스
204792,에케베리아 홍화장
204840,크라슐라 다비드
204774,세덤 청옥
204783,세데베리아 팡파레
204819,에케베리아 탱고
204807,에케베리아 푸미라
204801,에케베리아 몰라코
204786,아드로미스츄 천장금
204818,에케베리아 블루에뜨
204775,세덤 라울
204784,바위솔 바위솔
204806,에케베리아 금황성
204812,에케베리아 조몽
204800,에케베리아 라임앤칠리
204813,에케베리아 릴리시아나
204810,에케베리아 글라우카
204817,에케베리아 미니캐슬
204809,에케베리아 톱시터비
204799,에케베리아 먼로
204808,에케베리아 대화금
204781,세덤 홍옥
204805,에케베리아 라일락
204815,에케베리아 데저스스타
204811,에케베리아 구미리
204814,에케베리아 환엽홍사
204782,세데베리아 레티지아
204798,에케베리아 미니벨
204796,에케베리아 라즈베리아이스
204802,에케베리아 홍매화
204803,에케베리아 샤비홍
204804,에케베리아 양로
204816,에케베리아 톨루센시스
204797,에케베리아 부용
